iter	Passed	Remaining
0	166	166219
1	213	106465
2	253	84300
3	301	75035
4	342	68129
5	384	63762
6	428	60742
7	478	59364
8	520	57293
9	554	54902
10	596	53626
11	636	52382
12	676	51332
13	717	50551
14	758	49806
15	802	49345
16	843	48775
17	884	48228
18	923	47692
19	966	47339
20	985	45937
21	1029	45754
22	1071	45517
23	1114	45323
24	1157	45142
25	1200	44977
26	1247	44965
27	1278	44395
28	1330	44558
29	1386	44841
30	1438	44951
31	1491	45129
32	1550	45433
33	1611	45774
34	1626	44838
35	1671	44767
36	1730	45049
37	1783	45142
38	1829	45082
39	1879	45101
40	1923	45002
41	1975	45065
42	2032	45241
43	2079	45191
44	2116	44907
45	2161	44833
46	2213	44872
47	2261	44856
48	2315	44944
49	2358	44805
50	2394	44551
51	2435	44393
52	2478	44278
53	2521	44166
54	2586	44432
55	2629	44331
56	2683	44395
57	2726	44276
58	2768	44153
59	2810	44024
60	2851	43891
61	2893	43771
62	2938	43698
63	2984	43654
64	3027	43545
65	3070	43451
66	3119	43442
67	3167	43420
68	3210	43321
69	3254	43234
70	3288	43023
71	3335	42984
72	3378	42904
73	3422	42825
74	3464	42734
75	3481	42323
76	3525	42261
77	3568	42182
78	3610	42092
79	3652	42002
80	3680	41762
81	3722	41673
82	3762	41567
83	3806	41506
84	3848	41426
85	3888	41329
86	3932	41267
87	3974	41190
88	4015	41103
89	4056	41016
90	4097	40933
91	4140	40863
92	4181	40779
93	4220	40682
94	4265	40636
95	4307	40559
96	4350	40497
97	4366	40187
98	4395	40003
99	4446	40021
100	4499	40046
101	4546	40025
102	4589	39966
103	4598	39614
104	4613	39328
105	4641	39143
106	4701	39236
107	4763	39342
108	4793	39184
109	4839	39155
110	4885	39125
111	4931	39098
112	4956	38904
113	5002	38879
114	5053	38893
115	5103	38889
116	5149	38862
117	5160	38570
118	5206	38544
119	5252	38521
120	5299	38498
121	5318	38274
122	5363	38244
123	5413	38240
124	5464	38250
125	5569	38631
126	5656	38882
127	5714	38932
128	5763	38911
129	5786	38725
130	5830	38678
131	5873	38620
132	5895	38433
133	5911	38203
134	5953	38143
135	5995	38089
136	6010	37859
137	6018	37593
138	6061	37545
139	6104	37499
140	6149	37463
141	6192	37415
142	6215	37246
143	6258	37206
144	6301	37159
145	6343	37105
146	6387	37064
147	6442	37086
148	6485	37039
149	6494	36799
150	6536	36753
151	6580	36710
152	6621	36654
153	6664	36614
154	6708	36569
155	6750	36524
156	6790	36462
157	6833	36418
158	6850	36235
159	6866	36051
160	6937	36152
161	6986	36140
162	7051	36209
163	7102	36207
164	7151	36189
165	7194	36144
166	7237	36100
167	7277	36042
168	7318	35985
169	7332	35800
170	7372	35742
171	7414	35691
172	7455	35640
173	7498	35596
174	7543	35564
175	7566	35424
176	7586	35276
177	7630	35237
178	7675	35204
179	7715	35150
180	7757	35102
181	7798	35048
182	7842	35011
183	7858	34850
184	7902	34815
185	7945	34773
186	7989	34733
187	8030	34686
188	8073	34641
189	8115	34597
190	8157	34553
191	8200	34512
192	8242	34466
193	8286	34427
194	8331	34392
195	8383	34389
196	8429	34358
197	8491	34396
198	8539	34370
199	8598	34394
200	8641	34350
201	8699	34367
202	8742	34324
203	8785	34281
204	8829	34242
205	8871	34195
206	8915	34152
207	8955	34098
208	8998	34056
209	9044	34022
210	9109	34062
211	9165	34069
212	9212	34037
213	9254	33989
